String_Type,Window_m,Unique_Substrings_Sm,LZ77_z,Theoretical_Bound_mz,Ratio
Worst-Case,1036,4000,616,638176,0.006267863410720553
DNA,1037,3043,20,20740,0.14672131147540984
Worst-Case,1037,4000,616,638792,0.006261819183709251
DNA,1038,3044,20,20760,0.1466281310211946
Worst-Case,1038,4000,616,639408,0.006255786602607412
DNA,1039,3045,20,20780,0.14653512993262752
Worst-Case,1039,4000,616,640024,0.006249765633788733
DNA,1040,3046,20,20800,0.1464423076923077
Worst-Case,1040,4000,616,640640,0.006243756243756244
DNA,1041,3047,20,20820,0.14634966378482228
Worst-Case,1041,4000,616,641256,0.0062377583991416845
DNA,1042,3048,20,20840,0.14625719769673703
Worst-Case,1042,4000,616,641872,0.006231772066704888
DNA,1043,3049,20,20860,0.14616490891658676
Worst-Case,1043,4000,616,642488,0.006225797213333167
DNA,1044,3050,20,20880,0.1460727969348659
Worst-Case,1044,4000,616,643104,0.006219833806040702
DNA,1045,3051,20,20900,0.14598086124401913
Worst-Case,1045,4000,616,643720,0.0062138818119679366
DNA,1046,3052,20,20920,0.1458891013384321
Worst-Case,1046,4000,616,644336,0.006207941198380969
DNA,1047,3053,20,20940,0.14579751671442215
Worst-Case,1047,4000,616,644952,0.006202011932670958
DNA,1048,3054,20,20960,0.145706106870229
Worst-Case,1048,4000,616,645568,0.006196093982353525
DNA,1049,3055,20,20980,0.14561487130600573
Worst-Case,1049,4000,616,646184,0.006190187315068154
DNA,1050,3056,20,21000,0.14552380952380953
Worst-Case,1050,4000,616,646800,0.006184291898577613
DNA,1051,3057,20,21020,0.14543292102759278
Worst-Case,1051,4000,616,647416,0.0061784077007673585
DNA,1052,3058,20,21040,0.14534220532319392
Worst-Case,1052,4000,616,648032,0.006172534689644956
DNA,1053,3059,20,21060,0.14525166191832858
Worst-Case,1053,4000,616,648648,0.0061666728333395
DNA,1054,3060,20,21080,0.14516129032258066
Worst-Case,1054,4000,616,649264,0.0061608221001010375
DNA,1055,3061,20,21100,0.14507109004739335
Worst-Case,1055,4000,616,649880,0.006154982458299994
DNA,1056,3062,20,21120,0.1449810606060606
Worst-Case,1056,4000,616,650496,0.006149153876426604
DNA,1057,3063,20,21140,0.14489120151371807
Worst-Case,1057,4000,616,651112,0.006143336323090344
DNA,1058,3064,20,21160,0.1448015122873346
Worst-Case,1058,4000,616,651728,0.00613752976701937
DNA,1059,3065,20,21180,0.14471199244570349
Worst-Case,1059,4000,616,652344,0.006131734177059956
DNA,1060,3066,20,21200,0.14462264150943396
Worst-Case,1060,4000,616,652960,0.006125949522175937
DNA,1061,3067,20,21220,0.1445334590009425
Worst-Case,1061,4000,616,653576,0.006120175771448156
DNA,1062,3068,20,21240,0.14444444444444443
Worst-Case,1062,4000,616,654192,0.006114412894073911
DNA,1063,3069,20,21260,0.14435559736594544
Worst-Case,1063,4000,616,654808,0.00610866085936641
DNA,1064,3070,20,21280,0.14426691729323307
Worst-Case,1064,4000,616,655424,0.006102919636754223
DNA,1065,3071,20,21300,0.14417840375586854
Worst-Case,1065,4000,616,656040,0.006097189195780745
DNA,1066,3072,20,21320,0.14409005628517824
Worst-Case,1066,4000,616,656656,0.0060914695061036524
DNA,1067,3073,20,21340,0.14400187441424556
Worst-Case,1067,4000,616,657272,0.006085760537494371
DNA,1068,3074,20,21360,0.14391385767790263
Worst-Case,1068,4000,616,657888,0.006080062259837541
DNA,1069,3075,20,21380,0.14382600561272216
Worst-Case,1069,4000,616,658504,0.006074374643130489
DNA,1070,3076,20,21400,0.14373831775700935
Worst-Case,1070,4000,616,659120,0.006068697657482704
DNA,1071,3077,20,21420,0.14365079365079364
Worst-Case,1071,4000,616,659736,0.006063031273115306
DNA,1072,3078,20,21440,0.1435634328358209
Worst-Case,1072,4000,616,660352,0.006057375460360535
DNA,1073,3079,20,21460,0.1434762348555452
Worst-Case,1073,4000,616,660968,0.006051730189661224
DNA,1074,3080,20,21480,0.14338919925512103
Worst-Case,1074,4000,616,661584,0.006046095431570292
DNA,1075,3081,20,21500,0.14330232558139536
Worst-Case,1075,4000,616,662200,0.006040471156750227
DNA,1076,3082,20,21520,0.14321561338289962
Worst-Case,1076,4000,616,662816,0.006034857335972577
DNA,1077,3083,20,21540,0.14312906220984215
Worst-Case,1077,4000,616,663432,0.00602925394011745
DNA,1078,3084,20,21560,0.1430426716141002
Worst-Case,1078,4000,616,664048,0.0060236609401729995
DNA,1079,3085,20,21580,0.14295644114921224
Worst-Case,1079,4000,616,664664,0.006018078307234934
DNA,1080,3086,20,21600,0.14287037037037037
Worst-Case,1080,4000,616,665280,0.006012506012506013
DNA,1081,3087,20,21620,0.14278445883441257
Worst-Case,1081,4000,616,665896,0.006006944027295554
DNA,1082,3088,20,21640,0.14269870609981516
Worst-Case,1082,4000,616,666512,0.00600139232301894
DNA,1083,3089,20,21660,0.14261311172668514
Worst-Case,1083,4000,616,667128,0.005995850871197131
DNA,1084,3090,20,21680,0.14252767527675278
Worst-Case,1084,4000,616,667744,0.005990319643456175
DNA,1085,3091,20,21700,0.14244239631336406
Worst-Case,1085,4000,616,668360,0.005984798611526722
DNA,1086,3092,20,21720,0.1423572744014733
Worst-Case,1086,4000,616,668976,0.005979287747243548
DNA,1087,3093,20,21740,0.1422723091076357
Worst-Case,1087,4000,616,669592,0.005973787022545072
DNA,1088,3094,20,21760,0.1421875
Worst-Case,1088,4000,616,670208,0.00596829640947288
DNA,1089,3095,20,21780,0.1421028466483012
Worst-Case,1089,4000,616,670824,0.0059628158801712525
DNA,1090,3096,20,21800,0.1420183486238532
Worst-Case,1090,4000,616,671440,0.005957345406886691
DNA,1091,3097,20,21820,0.14193400549954172
Worst-Case,1091,4000,616,672056,0.0059518849619674555
DNA,1092,3098,20,21840,0.14184981684981685
Worst-Case,1092,4000,616,672672,0.00594643451786309
DNA,1093,3099,20,21860,0.14176578225068617
Worst-Case,1093,4000,616,673288,0.005940994047123965
DNA,1094,3100,20,21880,0.1416819012797075
Worst-Case,1094,4000,616,673904,0.005935563522400817
DNA,1095,3101,20,21900,0.14159817351598172
Worst-Case,1095,4000,616,674520,0.005930142916444286
DNA,1096,3102,20,21920,0.14151459854014597
Worst-Case,1096,4000,616,675136,0.0059247322021044645
DNA,1097,3103,20,21940,0.14143117593436647
Worst-Case,1097,4000,616,675752,0.005919331352330441
DNA,1098,3104,20,21960,0.14134790528233152
Worst-Case,1098,4000,616,676368,0.005913940340169848
DNA,1099,3105,20,21980,0.14126478616924476
Worst-Case,1099,4000,616,676984,0.00590855913876842
DNA,1100,3106,20,22000,0.14118181818181819
Worst-Case,1100,4000,616,677600,0.0059031877213695395
DNA,1101,3107,20,22020,0.14109900090826522
Worst-Case,1101,4000,616,678216,0.0058978260613138
DNA,1102,3108,20,22040,0.14101633393829402
Worst-Case,1102,4000,616,678832,0.005892474132038561
DNA,1103,3109,20,22060,0.14093381686310064
Worst-Case,1103,4000,616,679448,0.00588713190707751
DNA,1104,3110,20,22080,0.1408514492753623
Worst-Case,1104,4000,616,680064,0.00588179936006023
DNA,1105,3111,20,22100,0.14076923076923076
Worst-Case,1105,4000,616,680680,0.005876476464711759
DNA,1106,3112,20,22120,0.1406871609403255
Worst-Case,1106,4000,616,681296,0.005871163194852164
DNA,1107,3113,20,22140,0.1406052393857272
Worst-Case,1107,4000,616,681912,0.00586585952439611
DNA,1108,3114,20,22160,0.14052346570397112
Worst-Case,1108,4000,616,682528,0.005860565427352431
DNA,1109,3115,20,22180,0.14044183949504058
Worst-Case,1109,4000,616,683144,0.00585528087782371
DNA,1110,3116,20,22200,0.14036036036036037
Worst-Case,1110,4000,616,683760,0.00585000585000585
DNA,1111,3117,20,22220,0.1402790279027903
Worst-Case,1111,4000,616,684376,0.005844740318187663
DNA,1112,3118,20,22240,0.1401978417266187
Worst-Case,1112,4000,616,684992,0.005839484256750444
DNA,1113,3119,20,22260,0.14011680143755614
Worst-Case,1113,4000,616,685608,0.0058342376401675595
DNA,1114,3120,20,22280,0.1400359066427289
Worst-Case,1114,4000,616,686224,0.005829000443004034
DNA,1115,3121,20,22300,0.13995515695067265
Worst-Case,1115,4000,616,686840,0.005823772639916138
DNA,1116,3122,20,22320,0.13987455197132617
Worst-Case,1116,4000,616,687456,0.00581855420565098
DNA,1117,3123,20,22340,0.13979409131602508
Worst-Case,1117,4000,616,688072,0.0058133451150460995
DNA,1118,3124,20,22360,0.13971377459749554
Worst-Case,1118,4000,616,688688,0.005808145343029064
DNA,1119,3125,20,22380,0.13963360142984807
Worst-Case,1119,4000,616,689304,0.005802954864617063
DNA,1120,3126,20,22400,0.13955357142857142
Worst-Case,1120,4000,616,689920,0.005797773654916512
DNA,1121,3127,20,22420,0.1394736842105263
Worst-Case,1121,4000,616,690536,0.005792601689122653
DNA,1122,3128,20,22440,0.1393939393939394
Worst-Case,1122,4000,616,691152,0.005787438942519156
DNA,1123,3129,20,22460,0.13931433659839715
Worst-Case,1123,4000,616,691768,0.0057822853904777325
DNA,1124,3130,20,22480,0.13923487544483987
Worst-Case,1124,4000,616,692384,0.005777141008457734
DNA,1125,3131,20,22500,0.13915555555555556
Worst-Case,1125,4000,616,693000,0.005772005772005772
DNA,1126,3132,20,22520,0.13907637655417407
Worst-Case,1126,4000,616,693616,0.005766879656755323
DNA,1127,3133,20,22540,0.13899733806566106
Worst-Case,1127,4000,616,694232,0.0057617626384263475
DNA,1128,3134,20,22560,0.13891843971631207
Worst-Case,1128,4000,616,694848,0.005756654692824906
DNA,1129,3135,20,22580,0.13883968113374667
Worst-Case,1129,4000,616,695464,0.005751555795842776
DNA,1130,3136,20,22600,0.13876106194690266
Worst-Case,1130,4000,616,696080,0.005746465923457074
DNA,1131,3137,20,22620,0.13868258178603007
Worst-Case,1131,4000,616,696696,0.005741385051729879
DNA,1132,3138,20,22640,0.1386042402826855
Worst-Case,1132,4000,616,697312,0.0057363131568078565
DNA,1133,3139,20,22660,0.13852603706972638
Worst-Case,1133,4000,616,697928,0.0057312502149218835
DNA,1134,3140,20,22680,0.1384479717813051
Worst-Case,1134,4000,616,698544,0.005726196202386679
DNA,1135,3141,20,22700,0.13837004405286343
Worst-Case,1135,4000,616,699160,0.0057211510956004345
DNA,1136,3142,20,22720,0.13829225352112676
Worst-Case,1136,4000,616,699776,0.005716114871044449
DNA,1137,3143,20,22740,0.1382145998240985
Worst-Case,1137,4000,616,700392,0.005711087505282756
DNA,1138,3144,20,22760,0.13813708260105448
Worst-Case,1138,4000,616,701008,0.005706068974961769
DNA,1139,3145,20,22780,0.13805970149253732
Worst-Case,1139,4000,616,701624,0.005701059256809915
DNA,1140,3146,20,22800,0.13798245614035087
Worst-Case,1140,4000,616,702240,0.005696058327637275
DNA,1141,3147,20,22820,0.1379053461875548
Worst-Case,1141,4000,616,702856,0.005691066164335227
DNA,1142,3148,20,22840,0.13782837127845884
Worst-Case,1142,4000,616,703472,0.005686082743876089
DNA,1143,3149,20,22860,0.13775153105861768
Worst-Case,1143,4000,616,704088,0.005681108043312768
DNA,1144,3150,20,22880,0.13767482517482518
Worst-Case,1144,4000,616,704704,0.005676142039778403
DNA,1145,3151,20,22900,0.13759825327510916
Worst-Case,1145,4000,616,705320,0.005671184710486021
DNA,1146,3152,20,22920,0.137521815008726
Worst-Case,1146,4000,616,705936,0.005666236032728179
DNA,1147,3153,20,22940,0.13744551002615518
Worst-Case,1147,4000,616,706552,0.005661295983876629
DNA,1148,3154,20,22960,0.13736933797909406
Worst-Case,1148,4000,616,707168,0.005656364541381963
DNA,1149,3155,20,22980,0.13729329852045258
Worst-Case,1149,4000,616,707784,0.0056514416827732755
DNA,1150,3156,20,23000,0.13721739130434782
Worst-Case,1150,4000,616,708400,0.00564652738565782
DNA,1151,3157,20,23020,0.13714161598609906
Worst-Case,1151,4000,616,709016,0.005641621627720672
DNA,1152,3158,20,23040,0.13706597222222222
Worst-Case,1152,4000,616,709632,0.005636724386724387
DNA,1153,3159,20,23060,0.13699045967042497
Worst-Case,1153,4000,616,710248,0.005631835640508668
DNA,1154,3160,20,23080,0.1369150779896014
Worst-Case,1154,4000,616,710864,0.005626955366990029
DNA,1155,3161,20,23100,0.13683982683982684
Worst-Case,1155,4000,616,711480,0.005622083544161466
DNA,1156,3162,20,23120,0.13676470588235295
Worst-Case,1156,4000,616,712096,0.005617220150092123
DNA,1157,3163,20,23140,0.13668971477960243
Worst-Case,1157,4000,616,712712,0.00561236516292696
DNA,1158,3164,20,23160,0.1366148531951641
Worst-Case,1158,4000,616,713328,0.005607518560886437
DNA,1159,3165,20,23180,0.13654012079378774
Worst-Case,1159,4000,616,713944,0.005602680322266172
DNA,1160,3166,20,23200,0.1364655172413793
Worst-Case,1160,4000,616,714560,0.005597850425436633
DNA,1161,3167,20,23220,0.1363910422049957
Worst-Case,1161,4000,616,715176,0.005593028848842802
DNA,1162,3168,20,23240,0.13631669535283994
Worst-Case,1162,4000,616,715792,0.005588215571003867
DNA,1163,3169,20,23260,0.13624247635425624
Worst-Case,1163,4000,616,716408,0.005583410570512892
DNA,1164,3170,20,23280,0.13616838487972507
Worst-Case,1164,4000,616,717024,0.005578613826036506
DNA,1165,3171,20,23300,0.13609442060085836
Worst-Case,1165,4000,616,717640,0.005573825316314587
DNA,1166,3172,20,23320,0.1360205831903945
Worst-Case,1166,4000,616,718256,0.005569045020159943
DNA,1167,3173,20,23340,0.13594687232219366
Worst-Case,1167,4000,616,718872,0.005564272916458006
DNA,1168,3174,20,23360,0.13587328767123288
Worst-Case,1168,4000,616,719488,0.005559508984166519
DNA,1169,3175,20,23380,0.13579982891360137
Worst-Case,1169,4000,616,720104,0.005554753202315221
DNA,1170,3176,20,23400,0.13572649572649573
Worst-Case,1170,4000,616,720720,0.00555000555000555
DNA,1171,3177,20,23420,0.1356532877882152
Worst-Case,1171,4000,616,721336,0.005545266006410327
DNA,1172,3178,20,23440,0.135580204778157
Worst-Case,1172,4000,616,721952,0.005540534550773459
DNA,1173,3179,20,23460,0.1355072463768116
Worst-Case,1173,4000,616,722568,0.005535811162409628
DNA,1174,3180,20,23480,0.1354344122657581
Worst-Case,1174,4000,616,723184,0.005531095820703998
DNA,1175,3181,20,23500,0.13536170212765958
Worst-Case,1175,4000,616,723800,0.005526388505111909
DNA,1176,3182,20,23520,0.1352891156462585
Worst-Case,1176,4000,616,724416,0.005521689195158583
DNA,1177,3183,20,23540,0.13521665250637213
Worst-Case,1177,4000,616,725032,0.005516997870438822
DNA,1178,3184,20,23560,0.13514431239388794
Worst-Case,1178,4000,616,725648,0.005512314510616718
DNA,1179,3185,20,23580,0.13507209499575912
Worst-Case,1179,4000,616,726264,0.005507639095425355
DNA,1180,3186,20,23600,0.135
Worst-Case,1180,4000,616,726880,0.00550297160466652
DNA,1181,3187,20,23620,0.13492802709568164
Worst-Case,1181,4000,616,727496,0.00549831201821041
DNA,1182,3188,20,23640,0.13485617597292723
Worst-Case,1182,4000,616,728112,0.005493660315995341
DNA,1183,3189,20,23660,0.13478444632290787
Worst-Case,1183,4000,616,728728,0.005489016478027467
DNA,1184,3190,20,23680,0.13471283783783783
Worst-Case,1184,4000,616,729344,0.005484380484380484
DNA,1185,3191,20,23700,0.13464135021097046
Worst-Case,1185,4000,616,729960,0.005479752315195353
DNA,1186,3192,20,23720,0.1345699831365936
Worst-Case,1186,4000,616,730576,0.0054751319506800115
DNA,1187,3193,20,23740,0.13449873631002526
Worst-Case,1187,4000,616,731192,0.005470519371109093
DNA,1188,3194,20,23760,0.13442760942760942
Worst-Case,1188,4000,616,731808,0.005465914556823648
DNA,1189,3195,20,23780,0.13435660218671153
Worst-Case,1189,4000,616,732424,0.0054613174882308605
DNA,1190,3196,20,23800,0.13428571428571429
Worst-Case,1190,4000,616,733040,0.005456728145803776
DNA,1191,3197,20,23820,0.13421494542401344
Worst-Case,1191,4000,616,733656,0.005452146510081019
DNA,1192,3198,20,23840,0.1341442953020134
Worst-Case,1192,4000,616,734272,0.005447572561666522
DNA,1193,3199,20,23860,0.13407376362112322
Worst-Case,1193,4000,616,734888,0.0054430062812292485
DNA,1194,3200,20,23880,0.13400335008375208
Worst-Case,1194,4000,616,735504,0.005438447649502926
DNA,1195,3201,20,23900,0.13393305439330544
Worst-Case,1195,4000,616,736120,0.005433896647285769
DNA,1196,3202,20,23920,0.1338628762541806
Worst-Case,1196,4000,616,736736,0.005429353255440212
DNA,1197,3203,20,23940,0.13379281537176274
Worst-Case,1197,4000,616,737352,0.005424817454892643
DNA,1198,3204,20,23960,0.1337228714524207
Worst-Case,1198,4000,616,737968,0.005420289226633133
DNA,1199,3205,20,23980,0.1336530442035029
Worst-Case,1199,4000,616,738584,0.005415768551715174
DNA,1200,3206,20,24000,0.13358333333333333
Worst-Case,1200,4000,616,739200,0.005411255411255411
DNA,1201,3207,20,24020,0.13351373855120732
Worst-Case,1201,4000,616,739816,0.0054067497864333834
DNA,1202,3208,20,24040,0.13344425956738767
Worst-Case,1202,4000,616,740432,0.005402251658491259
DNA,1203,3209,20,24060,0.13337489609310058
Worst-Case,1203,4000,616,741048,0.005397761008733577
DNA,1204,3210,20,24080,0.13330564784053156
Worst-Case,1204,4000,616,741664,0.005393277818526988
DNA,1205,3211,20,24100,0.13323651452282156
Worst-Case,1205,4000,616,742280,0.005388802069299994
DNA,1206,3212,20,24120,0.133167495854063
Worst-Case,1206,4000,616,742896,0.005384333742542698
DNA,1207,3213,20,24140,0.13309859154929576
Worst-Case,1207,4000,616,743512,0.0053798728198065394
DNA,1208,3214,20,24160,0.13302980132450332
Worst-Case,1208,4000,616,744128,0.005375419282704051
DNA,1209,3215,20,24180,0.13296112489660877
Worst-Case,1209,4000,616,744744,0.005370973112908597
DNA,1210,3216,20,24200,0.13289256198347107
Worst-Case,1210,4000,616,745360,0.0053665342921541265
DNA,1211,3217,20,24220,0.13282411230388108
Worst-Case,1211,4000,616,745976,0.005362102802234925
DNA,1212,3218,20,24240,0.13275577557755774
Worst-Case,1212,4000,616,746592,0.005357678625005358
DNA,1213,3219,20,24260,0.13268755152514428
Worst-Case,1213,4000,616,747208,0.0053532617423796315
DNA,1214,3220,20,24280,0.1326194398682043
Worst-Case,1214,4000,616,747824,0.005348852136331544
DNA,1215,3221,20,24300,0.13255144032921812
Worst-Case,1215,4000,616,748440,0.005344449788894233
DNA,1216,3222,20,24320,0.13248355263157896
Worst-Case,1216,4000,616,749056,0.005340054682159945
DNA,1217,3223,20,24340,0.13241577649958916
Worst-Case,1217,4000,616,749672,0.005335666798279781
DNA,1218,3224,20,24360,0.13234811165845647
Worst-Case,1218,4000,616,750288,0.005331286119463459
DNA,1219,3225,20,24380,0.1322805578342904
Worst-Case,1219,4000,616,750904,0.0053269126279790755
DNA,1220,3226,20,24400,0.13221311475409836
Worst-Case,1220,4000,616,751520,0.0053225463061528635
DNA,1221,3227,20,24420,0.13214578214578215
Worst-Case,1221,4000,616,752136,0.005318187136368955
DNA,1222,3228,20,24440,0.1320785597381342
Worst-Case,1222,4000,616,752752,0.005313835101069144
DNA,1223,3229,20,24460,0.13201144726083403
Worst-Case,1223,4000,616,753368,0.0053094901827526525
DNA,1224,3230,20,24480,0.13194444444444445
Worst-Case,1224,4000,616,753984,0.005305152363975893
DNA,1225,3231,20,24500,0.13187755102040816
Worst-Case,1225,4000,616,754600,0.005300821627352239
DNA,1226,3232,20,24520,0.13181076672104405
Worst-Case,1226,4000,616,755216,0.0052964979555517894
DNA,1227,3233,20,24540,0.1317440912795436
Worst-Case,1227,4000,616,755832,0.005292181331301136
DNA,1228,3234,20,24560,0.1316775244299674
Worst-Case,1228,4000,616,756448,0.0052878717373831385
DNA,1229,3235,20,24580,0.13161106590724167
Worst-Case,1229,4000,616,757064,0.005283569156636692
DNA,1230,3236,20,24600,0.13154471544715446
Worst-Case,1230,4000,616,757680,0.005279273571956499
DNA,1231,3237,20,24620,0.13147847278635255
Worst-Case,1231,4000,616,758296,0.005274984966292846
DNA,1232,3238,20,24640,0.13141233766233767
Worst-Case,1232,4000,616,758912,0.005270703322651374
DNA,1233,3239,20,24660,0.1313463098134631
Worst-Case,1233,4000,616,759528,0.005266428624092857
DNA,1234,3240,20,24680,0.1312803889789303
Worst-Case,1234,4000,616,760144,0.005262160853732977
DNA,1235,3241,20,24700,0.13121457489878544
Worst-Case,1235,4000,616,760760,0.0052578999947421
DNA,1236,3242,20,24720,0.13114886731391587
Worst-Case,1236,4000,616,761376,0.00525364603034506
DNA,1237,3243,20,24740,0.13108326596604689
Worst-Case,1237,4000,616,761992,0.005249398943820933
DNA,1238,3244,20,24760,0.13101777059773828
Worst-Case,1238,4000,616,762608,0.005245158718502822
DNA,1239,3245,20,24780,0.13095238095238096
Worst-Case,1239,4000,616,763224,0.005240925337777638
DNA,1240,3246,20,24800,0.13088709677419355
Worst-Case,1240,4000,616,763840,0.005236698785085882
DNA,1241,3247,20,24820,0.13082191780821917
Worst-Case,1241,4000,616,764456,0.005232479043921429
DNA,1242,3248,20,24840,0.13075684380032207
Worst-Case,1242,4000,616,765072,0.005228266097831316
DNA,1243,3249,20,24860,0.13069187449718422
Worst-Case,1243,4000,616,765688,0.005224059930415522
DNA,1244,3250,20,24880,0.13062700964630225
Worst-Case,1244,4000,616,766304,0.005219860525326764
DNA,1245,3251,20,24900,0.13056224899598393
Worst-Case,1245,4000,616,766920,0.005215667866270276
DNA,1246,3252,20,24920,0.1304975922953451
Worst-Case,1246,4000,616,767536,0.005211481937003606
DNA,1247,3253,20,24940,0.13043303929430633
Worst-Case,1247,4000,616,768152,0.0052073027213364025
DNA,1248,3254,20,24960,0.13036858974358975
Worst-Case,1248,4000,616,768768,0.005203130203130203
DNA,1249,3255,20,24980,0.13030424339471577
Worst-Case,1249,4000,616,769384,0.005198964366298233
DNA,1250,3256,20,25000,0.13024
Worst-Case,1250,4000,616,770000,0.005194805194805195
DNA,1251,3257,20,25020,0.13017585931254996
Worst-Case,1251,4000,616,770616,0.005190652672667061
DNA,1252,3258,20,25040,0.130111821086262
Worst-Case,1252,4000,616,771232,0.005186506783950873
DNA,1253,3259,20,25060,0.13004788507581805
Worst-Case,1253,4000,616,771848,0.005182367512774536
DNA,1254,3260,20,25080,0.12998405103668262
Worst-Case,1254,4000,616,772464,0.005178234843306613
DNA,1255,3261,20,25100,0.1299203187250996
Worst-Case,1255,4000,616,773080,0.00517410875976613
DNA,1256,3262,20,25120,0.12985668789808918
Worst-Case,1256,4000,616,773696,0.005169989246422368
DNA,1257,3263,20,25140,0.1297931583134447
Worst-Case,1257,4000,616,774312,0.005165876287594665
DNA,1258,3264,20,25160,0.12972972972972974
Worst-Case,1258,4000,616,774928,0.005161769867652221
DNA,1259,3265,20,25180,0.12966640190627482
Worst-Case,1259,4000,616,775544,0.005157669971013894
DNA,1260,3266,20,25200,0.1296031746031746
Worst-Case,1260,4000,616,776160,0.00515357658214801
DNA,1261,3267,20,25220,0.1295400475812847
Worst-Case,1261,4000,616,776776,0.00514948968557216
DNA,1262,3268,20,25240,0.1294770206022187
Worst-Case,1262,4000,616,777392,0.005145409265853006
DNA,1263,3269,20,25260,0.1294140934283452
Worst-Case,1263,4000,616,778008,0.005141335307606091
DNA,1264,3270,20,25280,0.1293512658227848
Worst-Case,1264,4000,616,778624,0.005137267795495643
DNA,1265,3271,20,25300,0.1292885375494071
Worst-Case,1265,4000,616,779240,0.005133206714234382
DNA,1266,3272,20,25320,0.1292259083728278
Worst-Case,1266,4000,616,779856,0.005129152048583328
DNA,1267,3273,20,25340,0.1291633780584057
Worst-Case,1267,4000,616,780472,0.0051251037833516125
DNA,1268,3274,20,25360,0.12910094637223976
Worst-Case,1268,4000,616,781088,0.005121061903396288
DNA,1269,3275,20,25380,0.12903861308116626
Worst-Case,1269,4000,616,781704,0.005117026393622139
DNA,1270,3276,20,25400,0.1289763779527559
Worst-Case,1270,4000,616,782320,0.005112997238981491
DNA,1271,3277,20,25420,0.12891424075531077
Worst-Case,1271,4000,616,782936,0.005108974424474031
DNA,1272,3278,20,25440,0.12885220125786165
Worst-Case,1272,4000,616,783552,0.005104957935146614
DNA,1273,3279,20,25460,0.12879025923016496
Worst-Case,1273,4000,616,784168,0.005100947756093082
DNA,1274,3280,20,25480,0.12872841444270017
Worst-Case,1274,4000,616,784784,0.0050969438724540765
DNA,1275,3281,20,25500,0.12866666666666668
Worst-Case,1275,4000,616,785400,0.005092946269416858
DNA,1276,3282,20,25520,0.1286050156739812
Worst-Case,1276,4000,616,786016,0.00508895493221512
DNA,1277,3283,20,25540,0.12854346123727486
Worst-Case,1277,4000,616,786632,0.005084969846128813
DNA,1278,3284,20,25560,0.12848200312989044
Worst-Case,1278,4000,616,787248,0.005080990996483954
DNA,1279,3285,20,25580,0.1284206411258796
Worst-Case,1279,4000,616,787864,0.0050770183686524575
DNA,1280,3286,20,25600,0.128359375
Worst-Case,1280,4000,616,788480,0.005073051948051948
DNA,1281,3287,20,25620,0.12829820452771273
Worst-Case,1281,4000,616,789096,0.005069091720145584
DNA,1282,3288,20,25640,0.1282371294851794
Worst-Case,1282,4000,616,789712,0.0050651376704418825
DNA,1283,3289,20,25660,0.12817614964925955
Worst-Case,1283,4000,616,790328,0.005061189784494539
DNA,1284,3290,20,25680,0.1281152647975078
Worst-Case,1284,4000,616,790944,0.005057248047902254
DNA,1285,3291,20,25700,0.12805447470817122
Worst-Case,1285,4000,616,791560,0.005053312446308555
DNA,1286,3292,20,25720,0.12799377916018662
Worst-Case,1286,4000,616,792176,0.005049382965401628
DNA,1287,3293,20,25740,0.12793317793317793
Worst-Case,1287,4000,616,792792,0.005045459590914137
DNA,1288,3294,20,25760,0.1278726708074534
Worst-Case,1288,4000,616,793408,0.005041542308623054
DNA,1289,3295,20,25780,0.1278122575640031
Worst-Case,1289,4000,616,794024,0.005037631104349491
DNA,1290,3296,20,25800,0.12775193798449613
Worst-Case,1290,4000,616,794640,0.005033725963958522
DNA,1291,3297,20,25820,0.1276917118512781
Worst-Case,1291,4000,616,795256,0.005029826873359019
DNA,1292,3298,20,25840,0.12763157894736843
Worst-Case,1292,4000,616,795872,0.005025933818503478
DNA,1293,3299,20,25860,0.12757153905645785
Worst-Case,1293,4000,616,796488,0.0050220467853878525
DNA,1294,3300,20,25880,0.1275115919629057
Worst-Case,1294,4000,616,797104,0.005018165760051386
DNA,1295,3301,20,25900,0.12745173745173746
Worst-Case,1295,4000,616,797720,0.0050142907285764425
DNA,1296,3302,20,25920,0.12739197530864196
Worst-Case,1296,4000,616,798336,0.005010421677088344
DNA,1297,3303,20,25940,0.12733230531996917
Worst-Case,1297,4000,616,798952,0.005006558591755199
DNA,1298,3304,20,25960,0.12727272727272726
Worst-Case,1298,4000,616,799568,0.005002701458787746
DNA,1299,3305,20,25980,0.12721324095458045
Worst-Case,1299,4000,616,800184,0.004998850264439179
DNA,1300,3306,20,26000,0.12715384615384615
Worst-Case,1300,4000,616,800800,0.004995004995004995
DNA,1301,3307,20,26020,0.1270945426594927
Worst-Case,1301,4000,616,801416,0.004991165636822823
DNA,1302,3308,20,26040,0.12703533026113673
Worst-Case,1302,4000,616,802032,0.004987332176272268
DNA,1303,3309,20,26060,0.12697620874904067
Worst-Case,1303,4000,616,802648,0.004983504599774745
DNA,1304,3310,20,26080,0.12691717791411042
Worst-Case,1304,4000,616,803264,0.004979682893793323
DNA,1305,3311,20,26100,0.12685823754789272
Worst-Case,1305,4000,616,803880,0.004975867044832562
DNA,1306,3312,20,26120,0.12679938744257274
Worst-Case,1306,4000,616,804496,0.0049720570394383564
DNA,1307,3313,20,26140,0.1267406273909717
Worst-Case,1307,4000,616,805112,0.004968252864197776
DNA,1308,3314,20,26160,0.12668195718654435
Worst-Case,1308,4000,616,805728,0.004964454505738909
DNA,1309,3315,20,26180,0.1266233766233766
