String_Type,Window_m,Unique_Substrings_Sm,LZ77_z,Theoretical_Bound_mz,Ratio
Worst-Case,478,4000,616,294448,0.013584741618214421
DNA,479,2003,20,9580,0.2090814196242171
Worst-Case,479,4000,616,295064,0.013556380988531302
DNA,480,2007,20,9600,0.2090625
Worst-Case,480,4000,616,295680,0.013528138528138528
DNA,481,2011,20,9620,0.20904365904365904
Worst-Case,481,4000,616,296296,0.0135000135000135
DNA,482,2015,20,9640,0.20902489626556017
Worst-Case,482,4000,616,296912,0.013472005173249986
DNA,483,2019,20,9660,0.20900621118012422
Worst-Case,483,4000,616,297528,0.01344411282299481
DNA,484,2023,20,9680,0.2089876033057851
Worst-Case,484,4000,616,298144,0.013416335730385318
DNA,485,2027,20,9700,0.20896907216494845
Worst-Case,485,4000,616,298760,0.013388673182487616
DNA,486,2030,20,9720,0.2088477366255144
Worst-Case,486,4000,616,299376,0.013361124472235582
DNA,487,2033,20,9740,0.20872689938398356
Worst-Case,487,4000,616,299992,0.013333688898370622
DNA,488,2036,20,9760,0.20860655737704917
Worst-Case,488,4000,616,300608,0.01330636576538216
DNA,489,2039,20,9780,0.20848670756646218
Worst-Case,489,4000,616,301224,0.013279154383448863
DNA,490,2042,20,9800,0.2083673469387755
Worst-Case,490,4000,616,301840,0.013252054068380599
DNA,491,2045,20,9820,0.20824847250509165
Worst-Case,491,4000,616,302456,0.013225064141561087
DNA,492,2048,20,9840,0.208130081300813
